n,m,k,ProbOfMiss,SD
10,12,1,0.705851,0.00021080279899999977
10,12,2,0.503269,0.0002544306390000004
10,12,3,0.33968100000000007,0.0002385272389999998
10,12,4,0.184584,0.00016338494400000003
10,12,5,0.069446,6.513308399999998e-05
25,12,1,0.495156,0.0002509596640000003
25,12,2,0.21808100000000002,0.00017284843900000003
25,12,3,0.09514500000000001,8.4725975e-05
25,12,4,0.035866,3.378004399999999e-05
25,12,5,0.009900000000000003,9.963999999999998e-06
50,12,1,0.33640800000000004,0.0002452215359999998
50,12,2,0.066655,5.315397499999999e-05
50,12,3,0.008971000000000002,8.924159000000001e-06
50,12,4,0.0007230000000000001,7.802710000000001e-07
50,12,5,2.5e-05,2.6375000000000013e-08
100,12,1,0.167265,0.000131282775
100,12,2,0.008869,9.097839e-06
100,12,3,0.00014900000000000002,1.38799e-07
100,12,4,1e-06,9.990000000000008e-10
100,12,5,0.0,0.0
250,12,1,0.033418,3.1315275999999996e-05
250,12,2,0.000117,1.1131100000000002e-07
250,12,3,0.0,0.0
250,12,4,0.0,0.0
250,12,5,0.0,0.0
500,12,1,0.004053,4.042191e-06
500,12,2,0.0,0.0
500,12,3,0.0,0.0
500,12,4,0.0,0.0
500,12,5,0.0,0.0
1000,12,1,0.000127,1.2487099999999998e-07
1000,12,2,0.0,0.0
1000,12,3,0.0,0.0
1000,12,4,0.0,0.0
1000,12,5,0.0,0.0
1500,12,1,8e-06,7.936000000000006e-09
1500,12,2,0.0,0.0
1500,12,3,0.0,0.0
1500,12,4,0.0,0.0
1500,12,5,0.0,0.0
